Sample in Buffer,Sample in Window,TRIGGER,top_i/system_ila_0/inst/probe0_1,top_i/system_ila_0/inst/probe1_1[1:0],top_i/system_ila_0/inst/probe2_1[11:0],top_i/system_ila_0/inst/probe3_1[11:0],top_i/system_ila_0/inst/probe4_1[11:0],top_i/system_ila_0/inst/probe5_1[11:0],top_i/system_ila_0/inst/probe6_1[15:0],top_i/system_ila_0/inst/probe7_1[15:0],top_i/system_ila_0/inst/probe8_1[11:0],top_i/system_ila_0/inst/probe9_1[1:0],top_i/system_ila_0/inst/probe10_1[15:0],top_i/system_ila_0/inst/probe11_1[15:0],top_i/system_ila_0/inst/probe12_1[1:0],top_i/system_ila_0/inst/probe13_1,top_i/system_ila_0/inst/probe14_1,top_i/system_ila_0/inst/probe15_1[7:0],top_i/system_ila_0/inst/probe16_1,top_i/system_ila_0/inst/probe17_1,top_i/system_ila_0/inst/probe18_1,top_i/system_ila_0/inst/probe19_1[7:0],top_i/system_ila_0/inst/probe20_1,top_i/system_ila_0/inst/probe21_1,top_i/system_ila_0/inst/probe22_1,top_i/system_ila_0/inst/probe23_1[15:0],top_i/system_ila_0/inst/probe24_1[15:0],top_i/system_ila_0/inst/probe25_1,top_i/system_ila_0/inst/probe26_1,top_i/system_ila_0/inst/probe27_1,top_i/system_ila_0/inst/probe28_1,top_i/system_ila_0/inst/probe29_1[15:0],top_i/system_ila_0/inst/probe30_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX,SIGNED,UNSIGNED
0,0,0,1,3,-2046,-2,1081,-290,2882,2843,-714,0,2822,2770,0,0,0,00,0,0,0,00,0,1,0,5,5,0,0,0,0,1734,8243
1,1,0,1,3,2,-2046,1081,-290,2887,2859,-1917,0,2822,2770,0,0,0,00,0,0,0,00,0,1,0,3,6,0,0,0,0,1530,8243
2,2,0,1,3,2,-2046,634,1339,2887,2859,-1917,0,2822,2770,0,0,0,00,0,0,0,00,0,1,0,3,6,0,0,0,0,1327,8243
3,3,0,1,3,2046,2,634,1339,2841,2830,711,3,-2839,-2830,0,0,1,00,0,0,0,00,0,1,0,2,6,0,0,0,0,-126,8243
4,4,0,1,3,2046,2,-1486,498,2841,2830,711,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,2,6,0,0,0,0,-1578,8176
5,5,0,1,3,-2,2046,-1486,498,2714,2746,1918,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,0,5,0,0,0,0,-1578,8176
6,6,0,1,3,-2,2046,-735,-1406,2714,2746,1918,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,0,5,0,0,0,0,-1578,8176
7,7,0,1,3,-2046,-2,-735,-1406,2479,2595,-711,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,-3,3,0,0,0,0,-1837,8176
8,8,0,1,3,-2046,-2,1585,-508,2479,2595,-711,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,-3,3,0,0,0,0,-2096,8176
9,9,0,1,3,2,-2046,1585,-508,2175,2334,-1919,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,-9,1,0,0,0,0,-2096,8176
10,10,0,1,3,2,-2046,718,1426,2175,2334,-1919,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,-9,1,0,0,0,0,-2096,8176
11,11,0,1,0,-2046,-2,718,1426,1563,1905,708,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,-11,-2,0,0,0,0,-2263,8176
12,12,0,1,0,-2046,-2,-1589,511,1563,1905,708,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,-11,-2,0,0,0,0,-2430,8176
13,13,0,1,0,2,-2046,-1589,511,1223,1433,1919,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,-19,-4,0,0,0,0,-2430,8176
14,14,0,1,0,2,-2046,-722,-1425,1223,1433,1919,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,-19,-4,0,0,0,0,-2430,8176
15,15,0,1,0,2046,2,-722,-1425,46,770,-708,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,-9,-6,0,0,0,0,-2551,8176
16,16,0,1,0,2046,2,1601,-504,46,770,-708,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,-9,-6,0,0,0,0,0,8176
17,17,0,1,0,-2,2046,1601,-504,-297,-24,-1919,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,-10,-7,0,0,0,0,0,8176
18,18,0,1,0,-2,2046,723,1419,-297,-24,-1919,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,-10,-7,0,0,0,0,0,8176
19,19,0,1,0,-2046,-2,723,1419,-1420,-747,711,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,1,-6,0,0,0,0,2834,8176
20,20,0,1,0,-2046,-2,-1602,512,-1420,-747,711,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,1,-6,0,0,0,0,2834,8176
21,21,0,1,0,2,-2046,-1602,512,-1657,-1495,1918,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,22,-5,0,0,0,0,2785,8176
22,22,0,1,0,2,-2046,-726,-1436,-1657,-1495,1918,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,22,-5,0,0,0,0,2734,8176
23,23,0,1,0,2046,2,-726,-1436,-2252,-1934,-714,3,-2839,-2830,0,0,0,00,0,0,0,00,0,1,0,7,-3,0,0,0,0,2734,8176
24,24,0,1,0,2046,2,1615,-476,-2252,-1934,-714,3,-2839,-2830,0,0,0,ff,0,0,0,00,0,1,0,7,-3,0,0,0,0,2734,8176
25,25,0,1,0,-2,2046,1615,-476,-2507,-2346,-1917,3,-2839,-2830,0,0,0,ff,0,0,0,00,0,1,0,20,-1,0,0,0,0,2637,8176
26,26,0,1,0,-2,2046,657,1364,-2507,-2346,-1917,3,-2839,-2830,0,0,0,ff,0,0,0,00,0,1,0,20,-1,0,0,0,0,2540,8176
27,27,0,1,0,-2046,-2,657,1364,-2728,-2616,714,3,-2839,-2830,0,0,0,ff,0,0,0,00,0,1,0,11,1,0,0,0,0,2540,8176
28,28,0,1,0,-2046,-2,-1033,1340,-2728,-2616,714,3,-2839,-2830,0,0,0,ff,0,0,0,00,0,1,0,11,1,0,0,0,0,2540,8176
29,29,0,1,0,2,-2046,-1033,1340,-2831,-2767,1917,3,-2839,-2830,0,0,0,ff,0,0,0,00,0,1,0,9,3,0,0,0,0,2398,8176
