time,DAC_vld,DAC_bits,DAC_I,DAC_Q,ADC_I,ADC_Q,I_16M,Q_16M,NCO_cos,QPSK_raw,I_1M,Q_1M,QPSK,BPSK,clk_1M_out,Tx_data_tdata,Tx_data_tlast,Tx_data_tuser,Tx_data_tvalid,Rx_data_tdata,Rx_data_tlast,Rx_data_tuser,Rx_data_tvalid,error_tdata,feedback_tdata,Tx_1bit,Tx_vld,Rx_1bit,Rx_vld,gardner_error,gardner_increment,DAC_bits_1,DAC_bits_0,DAC_bits_X1,DAC_bits_X2,Tx_data_tdata_2bits,Tx_data_tdata_1,Tx_data_tdata_0,Tx_data_tdata_X1,Tx_data_tdata_X2,Rx_data_tdata_2bits,Rx_data_tdata_1,Rx_data_tdata_0,Rx_data_tdata_X1,Rx_data_tdata_X2,v0
0,,,,,,,,,,0,2198,2160,0,0,0,255,0,0,0,0,0,1,0,,,0,0,0,0,,,1,1,0,1,3,1,1,0,1,0,0,0,0,1,0
1,1,3,2,-2046,1033,-250,2775,2425,-1907,,,,,,,,,,,,,,,-8,0,,,,,0,8192,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3,2046,2,572,1265,2412,2557,741,,2189,2161,,,1,,,,,,,,,27,0,,,,,0,8192,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,3,-2,2046,-1420,437,2833,2586,1907,,,,,,,,,,,,,,,-11,0,,,,,0,8192,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,3,-2046,-2,-667,-1335,2225,2539,-741,,,,,,,,,,,,,,,20,0,,,,,0,8192,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,3,2,-2046,1512,-452,2340,2303,-1907,,,,,,,,,,,,,,,-23,0,,,,,0,8192,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
11,1,0,-2046,-2,659,1354,1398,1934,741,,,,,,,,,,,,,,,2,0,,,,,0,8192,0,0,1,0,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,0,2,-2046,-1518,444,1203,1370,1907,,,,,,,,,,,,,,,-28,0,,,,,0,8192,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,0,2046,2,-657,-1347,33,720,-741,,,,,,,,,,,,,,,-7,0,,,,,0,8192,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,0,-2,2046,1523,-450,-267,-29,-1907,,,,,,,,,,,,,,,-8,0,,,,,0,8192,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,0,-2046,-2,652,1357,-1337,-730,741,,,,,,,,,,,,,,,1,0,,,,,0,8192,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,0,2,-2046,-1515,449,-1558,-1425,1907,,,,,,,,,,,,,,,19,0,,,,,0,8192,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,0,2046,2,-665,-1348,-2116,-1847,-741,,,,,,,,,,,,,,,6,0,,,,,0,8192,,,,,,,,0,1,,,,,,
24,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,
25,1,0,-2,2046,1539,-437,-2353,-2232,-1907,,,,,,,,,,,,,,,16,0,,,,,0,8192,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,0,-2046,-2,594,1288,-2558,-2487,741,,,,,,,,,,,,,,,8,0,,,,,0,8192,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,0,2,-2046,-982,1255,-2652,-2630,1907,,,,,,,,,,,,,,,5,0,,,,,0,8192,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,0,2046,2,-516,1111,-2702,-2698,-741,,,,,,,,,,,,,,,1,0,,,,,0,8192,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,0,-2,2046,-1025,253,-2705,-2714,-1907,,,,,,,,,,,,,,,0,0,,,,,0,8192,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,0,-2046,-2,-576,-1260,-2662,-2689,741,,2665,2375,,,1,,,,,,,,,-1,0,,,,,0,8192,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,0,2,-2046,1416,-446,-2550,-2610,1907,,,,,,,,,,,,,,,-3,0,,,,,0,8192,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,0,2046,2,672,1333,-2333,-2458,-741,,,,,,,,,,,,,,,-5,1,,,,,0,8192,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,0,-2,2046,-1504,454,-2047,-2207,-1907,,,,,,,,,,,,,,,-10,0,,,,,0,8192,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,
43,1,3,2046,2,-668,-1346,-1470,-1795,741,,,,,,,,,,,,,,,-11,1,,,,,0,8192,1,1,0,1,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,3,-2,2046,1525,-455,-1153,-1352,1907,,,,,,,,,,,,,,,-17,0,,,,,0,8192,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,3,-2046,-2,648,1351,-46,-709,-741,,,,,,,,,,,,,,,-8,1,,,,,0,8192,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,3,2,-2046,-1495,455,276,36,-1907,,,,,,,,,,,,,,,-8,0,,,,,0,8192,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,3,2046,2,-672,-1348,1337,729,741,,,,,,,,,,,,,,,1,0,,,,,2519,8192,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,3,-2,2046,1537,-452,1557,1426,1907,,,,,,,,,,,,,,,19,-1,,,,,2709,8192,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,3,-2046,-2,641,1353,2118,1846,-741,,,,,,,,,,,,,,,5,0,,,,,2545,8192,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,3,2,-2046,-1522,430,2360,2231,-1907,,,,,,,,,,,,,,,16,-1,,,,,2381,8192,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,3,2046,2,-608,-1294,2566,2480,741,,,,,,,,,,,,,,,9,-1,,,,,2351,8192,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,3,-2,2046,998,-1250,2660,2621,1907,,,,,,,,,,,,,,,6,0,,,,,2321,8192,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1,3,-2046,-2,517,-1104,2709,2689,-741,,,,,,,,,,,,,,,3,1,,,,,1993,8192,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,3,2,-2046,1029,-254,2716,2705,-1907,,,,,,,,,,,,,,,1,2,,,,,316,8192,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,3,2046,2,574,1272,2674,2677,741,3,-2684,-2702,,,1,,,,,,,,,0,2,,,,,-1034,8192,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,3,-2,2046,-1417,438,2558,2600,1907,,,,,,,,,,,,,,,-1,3,,,,,-1263,8062,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,3,-2046,-2,-672,-1326,2338,2451,-741,,,,,,,,,,,,,,,-4,3,,,,,-1492,8062,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,3,2,-2046,1507,-460,2053,2204,-1907,,,,,,,,,,,,,,,-9,2,,,,,-1737,8062,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
75,1,0,-2046,-2,658,1349,1476,1794,741,,,,,,,,,,,,,,,-10,1,,,,,-1982,8062,0,0,1,0,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,0,2,-2046,-1510,459,1156,1351,1907,,,,,,,,,,,,,,,-16,-1,,,,,-2138,8062,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,0,2046,2,-667,-1353,45,711,-741,,,,,,,,,,,,,,,-8,-3,,,,,-2502,8062,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,0,-2,2046,1521,-454,-279,-29,-1907,,,,,,,,,,,,,,,-8,-4,,,,,-1357,8062,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,0,-2046,-2,655,1343,-1341,-724,741,,,,,,,,,,,,,,,1,-4,,,,,2693,8062,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,0,2,-2046,-1514,459,-1568,-1419,1907,,,,,,,,,,,,,,,19,-4,,,,,2675,8062,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,0,2046,2,-671,-1357,-2130,-1839,-741,,,,,,,,,,,,,,,6,-3,,,,,2628,8062,,,,,,,,1,0,,,,,,
88,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,3,1,1,0,1,,,,,,
89,1,0,-2,2046,1528,-433,-2372,-2223,-1907,,,,,,,,,,,,,,,17,-2,,,,,2580,8062,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,0,-2046,-2,604,1285,-2581,-2477,741,,,,,,,,,,,,,,,10,0,,,,,2488,8062,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,0,2,-2046,-983,1258,-2676,-2618,1906,,,,,,,,,,,,,,,8,3,,,,,1387,8062,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1,0,2046,2,-513,1106,-2724,-2686,-744,,,,,,,,,,,,,,,4,4,,,,,377,8062,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1,0,-2,2046,-1029,255,-2727,-2702,-1906,,,,,,,,,,,,,,,3,5,,,,,110,8062,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,0,-2046,-2,-572,-1266,-2682,-2678,741,0,2712,2697,,,1,,,,,,,,,2,4,,,,,-156,8062,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,0,2,-2046,1405,-445,-2566,-2600,1907,,,,,,,,,,,,,,,0,4,,,,,-594,8172,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,0,2046,2,671,1326,-2347,-2450,-741,,,,,,,,,,,,,,,-3,1,,,,,-1034,8172,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,0,-2,2046,-1504,465,-2056,-2199,-1907,,,,,,,,,,,,,,,-8,0,,,,,-1263,8172,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,
107,1,3,2046,2,-670,-1351,-1476,-1788,738,,,,,,,,,,,,,,,-10,-3,,,,,-2066,8172,1,1,0,1,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,3,-2,2046,1523,-455,-1157,-1350,1908,,,,,,,,,,,,,,,-16,-5,,,,,-2641,8172,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,3,-2046,-2,654,1339,-50,-706,-738,,,,,,,,,,,,,,,-8,-6,,,,,-2670,8172,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,3,2,-2046,-1503,461,274,36,-1907,,,,,,,,,,,,,,,-8,-6,,,,,-1345,8172,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1,3,2046,2,-669,-1355,1336,730,741,,,,,,,,,,,,,,,1,-6,,,,,0,8172,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1,3,-2,2046,1532,-448,1555,1425,1907,,,,,,,,,,,,,,,19,-5,,,,,1358,8172,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1,3,-2046,-2,642,1347,2116,1846,-741,,,,,,,,,,,,,,,5,-3,,,,,2692,8172,,,,,,,,0,1,,,,,,
120,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,
121,1,3,2,-2046,-1522,431,2358,2228,-1906,,,,,,,,,,,,,,,16,-1,,,,,2154,8172,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,3,2046,2,-611,-1292,2565,2479,744,,,,,,,,,,,,,,,9,1,,,,,1635,8172,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1,3,-2,2046,987,-1254,2658,2617,1906,,,,,,,,,,,,,,,6,3,,,,,1444,8172,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1,3,-2046,-2,518,-1109,2709,2687,-741,,,,,,,,,,,,,,,3,4,,,,,1253,8172,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,3,2,-2046,1025,-258,2716,2700,-1907,,,,,,,,,,,,,,,1,5,,,,,815,8172,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,3,2046,2,574,1265,2676,2673,741,3,-2700,-2652,,,1,,,,,,,,,1,5,,,,,377,8172,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1,3,-2,2046,-1413,445,2560,2593,1908,,,,,,,,,,,,,,,0,4,,,,,111,8239,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1,3,-2046,-2,-681,-1336,2341,2447,-738,,,,,,,,,,,,,,,-3,2,,,,,-1226,8239,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1,3,2,-2046,1516,-455,2057,2199,-1908,,,,,,,,,,,,,,,-8,0,,,,,-2298,8239,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
139,1,0,-2046,-2,656,1341,1480,1790,738,,,,,,,,,,,,,,,-10,-2,,,,,-2414,8239,0,0,1,0,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,0,2,-2046,-1506,459,1160,1348,1909,,,,,,,,,,,,,,,-16,-4,,,,,-2530,8239,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1,0,2046,2,-673,-1353,51,710,-738,,,,,,,,,,,,,,,-8,-6,,,,,-2589,8239,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1,0,-2,2046,1529,-450,-273,-30,-1908,,,,,,,,,,,,,,,-8,-6,,,,,-2647,8239,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1,0,-2046,-2,643,1345,-1334,-723,738,,,,,,,,,,,,,,,1,-6,,,,,0,8239,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1,0,2,-2046,-1506,454,-1559,-1418,1908,,,,,,,,,,,,,,,19,-5,,,,,1268,8239,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1,0,2046,2,-668,-1355,-2121,-1839,-741,,,,,,,,,,,,,,,6,-3,,,,,2398,8239,,,,,,,,1,0,,,,,,
152,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,3,1,1,0,1,,,,,,
153,1,0,-2,2046,1543,-428,-2362,-2225,-1907,,,,,,,,,,,,,,,17,-1,,,,,2263,8239,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1,0,-2046,-2,590,1289,-2571,-2481,741,,,,,,,,,,,,,,,9,1,,,,,2127,8239,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,0,2,-2046,-988,1254,-2666,-2622,1907,,,,,,,,,,,,,,,6,3,,,,,1880,8239,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1,0,2046,2,-517,1103,-2712,-2691,-741,,,,,,,,,,,,,,,3,5,,,,,1632,8239,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1,0,-2,2046,-1030,254,-2712,-2707,-1907,,,,,,,,,,,,,,,1,6,,,,,1442,8239,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1,0,-2046,-2,-572,-1271,-2668,-2687,738,0,2676,2673,,,1,,,,,,,,,0,5,,,,,-119,8239,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1,0,2,-2046,1412,-438,-2553,-2607,1908,,,,,,,,,,,,,,,-2,5,,,,,-1491,8177,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1,0,2046,2,665,1325,-2332,-2458,-735,,,,,,,,,,,,,,,-5,3,,,,,-1736,8177,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1,0,-2,2046,-1499,459,-2043,-2207,-1909,,,,,,,,,,,,,,,-10,1,,,,,-1981,8177,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,
171,1,3,2046,2,-669,-1353,-1465,-1797,735,,,,,,,,,,,,,,,-11,-2,,,,,-2138,8177,1,1,0,1,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1,3,-2,2046,1522,-449,-1149,-1357,1909,,,,,,,,,,,,,,,-17,-3,,,,,-2293,8177,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1,3,-2046,-2,650,1344,-45,-712,-735,,,,,,,,,,,,,,,-8,-5,,,,,-2408,8177,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1,3,2,-2046,-1511,460,275,31,-1909,,,,,,,,,,,,,,,-8,-6,,,,,0,8177,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1,3,2046,2,-666,-1355,1332,725,735,,,,,,,,,,,,,,,1,-5,,,,,2674,8177,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1,3,-2,2046,1526,-442,1552,1422,1908,,,,,,,,,,,,,,,19,-4,,,,,2625,8177,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1,3,-2046,-2,642,1347,2112,1844,-738,,,,,,,,,,,,,,,5,-3,,,,,2576,8177,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1,3,2,-2046,-1529,424,2354,2228,-1908,,,,,,,,,,,,,,,16,-1,,,,,2485,8177,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1,3,2046,2,-597,-1289,2563,2479,741,,,,,,,,,,,,,,,8,1,,,,,2393,8177,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1,3,-2,2046,993,-1256,2657,2618,1907,,,,,,,,,,,,,,,6,3,,,,,2260,8177,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1,3,-2046,-2,526,-1102,2708,2689,-741,,,,,,,,,,,,,,,3,4,,,,,988,8177,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1,3,2,-2046,1028,-253,2716,2704,-1908,,,,,,,,,,,,,,,1,5,,,,,-152,8177,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1,3,2046,2,572,1267,2676,2676,738,3,-2712,-2707,,,1,,,,,,,,,0,5,,,,,-591,8177,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1,3,-2,2046,-1410,439,2561,2596,1908,,,,,,,,,,,,,,,0,4,,,,,-1029,8118,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1,3,-2046,-2,-672,-1331,2337,2449,-735,,,,,,,,,,,,,,,-3,2,,,,,-1260,8118,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1,3,2,-2046,1512,-460,2051,2204,-1909,,,,,,,,,,,,,,,-9,0,,,,,-1489,8118,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
203,1,0,-2046,-2,653,1346,1475,1794,735,,,,,,,,,,,,,,,-10,-2,,,,,-1735,8118,0,0,1,0,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1,0,2,-2046,-1511,449,1154,1350,1909,,,,,,,,,,,,,,,-16,-4,,,,,-2342,8118,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1,0,2046,2,-667,-1339,43,709,-735,,,,,,,,,,,,,,,-8,-5,,,,,-2702,8118,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1,0,-2,2046,1516,-465,-280,-31,-1909,,,,,,,,,,,,,,,-8,-6,,,,,0,8118,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1,0,-2046,-2,665,1351,-1338,-725,735,,,,,,,,,,,,,,,1,-5,,,,,1356,8118,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1,0,2,-2046,-1521,451,-1560,-1422,1908,,,,,,,,,,,,,,,19,-4,,,,,2693,8118,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1,0,2046,2,-655,-1351,-2121,-1843,-738,,,,,,,,,,,,,,,6,-2,,,,,2677,8118,,,,,,,,0,1,,,,,,
216,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,
217,1,0,-2,2046,1532,-432,-2362,-2228,-1908,,,,,,,,,,,,,,,16,-1,,,,,2628,8118,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1,0,-2046,-2,597,1290,-2571,-2482,738,,,,,,,,,,,,,,,9,2,,,,,1916,8118,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1,0,2,-2046,-984,1253,-2667,-2621,1908,,,,,,,,,,,,,,,6,3,,,,,1252,8118,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1,0,2046,2,-517,1108,-2718,-2688,-738,,,,,,,,,,,,,,,3,5,,,,,815,8118,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
