time,clk_1M024,rst_n_1M024,clk_16M384,rst_16M384,DAC_I,DAC_Q,DAC_bits,DAC_vld,pn_5,pn_4,DAC_bits_1,DAC_bits_0,ground,DAC_bits_X1,DAC_bits_X2
11039,0,1,0,0,2046.0,2.0,3.0,1.0,0,1,1,1,0,1,0
11040,1,1,1,0,2046.0,2.0,3.0,1.0,0,1,1,1,0,1,0
11041,1,1,0,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,1,0
11042,1,1,1,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,1,0
11043,1,1,0,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,1,0
11044,1,1,1,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,1,0
11045,1,1,0,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,1,0
11046,1,1,1,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,1,0
11047,1,1,0,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,1,0
11048,1,1,1,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,1,0
11049,1,1,0,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,1,0
11050,1,1,1,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,1,0
11051,1,1,0,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,1,0
11052,1,1,1,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,1,0
11053,1,1,0,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,1,0
11054,1,1,1,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,1,0
11055,1,1,0,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,1,0
11056,0,1,1,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,1,0
11057,0,1,0,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,1,0
11058,0,1,1,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,1,0
11059,0,1,0,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,0,1
11060,0,1,1,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,0,1
11061,0,1,0,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,0,1
11062,0,1,1,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,0,1
11063,0,1,0,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,0,1
11064,0,1,1,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,0,1
11065,0,1,0,0,2.0,-2046.0,0.0,1.0,1,0,0,0,0,0,1
11066,0,1,1,0,2.0,-2046.0,0.0,1.0,1,0,0,0,0,0,1
11067,0,1,0,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,0,1
11068,0,1,1,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,0,1
11069,0,1,0,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,0,1
11070,0,1,1,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,0,1
11071,0,1,0,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,0,1
11072,1,1,1,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,0,1
11073,1,1,0,0,2.0,-2046.0,0.0,1.0,0,0,0,0,0,0,1
11074,1,1,1,0,2.0,-2046.0,0.0,1.0,0,0,0,0,0,0,1
11075,1,1,0,0,2046.0,2.0,0.0,1.0,0,0,0,0,0,0,1
11076,1,1,1,0,2046.0,2.0,0.0,1.0,0,0,0,0,0,0,1
11077,1,1,0,0,-2.0,2046.0,0.0,1.0,0,0,0,0,0,0,1
11078,1,1,1,0,-2.0,2046.0,0.0,1.0,0,0,0,0,0,0,1
11079,1,1,0,0,-2046.0,-2.0,0.0,1.0,0,0,0,0,0,0,1
11080,1,1,1,0,-2046.0,-2.0,0.0,1.0,0,0,0,0,0,0,1
11081,1,1,0,0,2.0,-2046.0,0.0,1.0,0,0,0,0,0,0,1
11082,1,1,1,0,2.0,-2046.0,0.0,1.0,0,0,0,0,0,0,1
11083,1,1,0,0,2046.0,2.0,0.0,1.0,0,0,0,0,0,0,1
11084,1,1,1,0,2046.0,2.0,0.0,1.0,0,0,0,0,0,0,1
11085,1,1,0,0,-2.0,2046.0,0.0,1.0,0,0,0,0,0,0,1
11086,1,1,1,0,-2.0,2046.0,0.0,1.0,0,0,0,0,0,0,1
11087,1,1,0,0,-2046.0,-2.0,0.0,1.0,0,0,0,0,0,0,1
11088,0,1,1,0,-2046.0,-2.0,0.0,1.0,0,0,0,0,0,0,1
11089,0,1,0,0,2.0,-2046.0,0.0,1.0,0,0,0,0,0,0,1
11090,0,1,1,0,2.0,-2046.0,0.0,1.0,0,0,0,0,0,0,1
11091,0,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,1,0
11092,0,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,1,0
11093,0,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,1,0
11094,0,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,1,0
11095,0,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,1,0
11096,0,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,1,0
11097,0,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11098,0,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11099,0,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,1,0
11100,0,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,1,0
11101,0,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,1,0
11102,0,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,1,0
11103,0,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,1,0
11104,1,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,1,0
11105,1,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11106,1,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11107,1,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,1,0
11108,1,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,1,0
11109,1,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,1,0
11110,1,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,1,0
11111,1,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,1,0
11112,1,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,1,0
11113,1,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11114,1,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11115,1,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,1,0
11116,1,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,1,0
11117,1,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,1,0
11118,1,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,1,0
11119,1,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,1,0
11120,0,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,1,0
11121,0,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11122,0,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11123,0,1,0,0,2.0,-2046.0,2.0,1.0,0,0,1,0,0,0,1
11124,0,1,1,0,2.0,-2046.0,2.0,1.0,0,0,1,0,0,0,1
11125,0,1,0,0,2046.0,2.0,2.0,1.0,0,0,1,0,0,0,1
11126,0,1,1,0,2046.0,2.0,2.0,1.0,0,0,1,0,0,0,1
11127,0,1,0,0,-2.0,2046.0,2.0,1.0,0,0,1,0,0,0,1
11128,0,1,1,0,-2.0,2046.0,2.0,1.0,0,0,1,0,0,0,1
11129,0,1,0,0,-2046.0,-2.0,2.0,1.0,0,0,1,0,0,0,1
