time,clk_1M024,rst_n_1M024,clk_16M384,rst_16M384,DAC_I,DAC_Q,DAC_bits,DAC_vld,pn_5,pn_4,DAC_bits_1,DAC_bits_0,ground,DAC_bits_X1,DAC_bits_X2
26991,1,1,0,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,1,0
26992,0,1,1,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,1,0
26993,0,1,0,0,2.0,-2046.0,0.0,1.0,0,1,0,0,0,1,0
26994,0,1,1,0,2.0,-2046.0,0.0,1.0,0,1,0,0,0,1,0
26995,0,1,0,0,2046.0,2.0,0.0,1.0,0,1,0,0,0,1,0
26996,0,1,1,0,2046.0,2.0,0.0,1.0,0,1,0,0,0,1,0
26997,0,1,0,0,-2.0,2046.0,0.0,1.0,0,1,0,0,0,1,0
26998,0,1,1,0,-2.0,2046.0,0.0,1.0,0,1,0,0,0,1,0
26999,0,1,0,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,1,0
27000,0,1,1,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,1,0
27001,0,1,0,0,2.0,-2046.0,0.0,1.0,0,1,0,0,0,1,0
27002,0,1,1,0,2.0,-2046.0,0.0,1.0,0,1,0,0,0,1,0
27003,0,1,0,0,2046.0,2.0,0.0,1.0,0,1,0,0,0,1,0
27004,0,1,1,0,2046.0,2.0,0.0,1.0,0,1,0,0,0,1,0
27005,0,1,0,0,-2.0,2046.0,0.0,1.0,0,1,0,0,0,1,0
27006,0,1,1,0,-2.0,2046.0,0.0,1.0,0,1,0,0,0,1,0
27007,0,1,0,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,1,0
27008,1,1,1,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,1,0
27009,1,1,0,0,2.0,-2046.0,0.0,1.0,1,0,0,0,0,1,0
27010,1,1,1,0,2.0,-2046.0,0.0,1.0,1,0,0,0,0,1,0
27011,1,1,0,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,1,0
27012,1,1,1,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,1,0
27013,1,1,0,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,1,0
27014,1,1,1,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,1,0
27015,1,1,0,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,1,0
27016,1,1,1,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,1,0
27017,1,1,0,0,2.0,-2046.0,0.0,1.0,1,0,0,0,0,1,0
27018,1,1,1,0,2.0,-2046.0,0.0,1.0,1,0,0,0,0,1,0
27019,1,1,0,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,1,0
27020,1,1,1,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,1,0
27021,1,1,0,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,1,0
27022,1,1,1,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,1,0
27023,1,1,0,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,1,0
27024,0,1,1,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,1,0
27025,0,1,0,0,2.0,-2046.0,0.0,1.0,1,0,0,0,0,1,0
27026,0,1,1,0,2.0,-2046.0,0.0,1.0,1,0,0,0,0,1,0
27027,0,1,0,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,0,1
27028,0,1,1,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,0,1
27029,0,1,0,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,0,1
27030,0,1,1,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,0,1
27031,0,1,0,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,0,1
27032,0,1,1,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,0,1
27033,0,1,0,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,0,1
27034,0,1,1,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,0,1
27035,0,1,0,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,0,1
27036,0,1,1,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,0,1
27037,0,1,0,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,0,1
27038,0,1,1,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,0,1
